kingdom	supergroup	division	class	order	family	genus	species	n
Eukaryota	Stramenopiles	Stramenopiles_X	Opalinata	Opalinata_X	Blastocystis-Group	Blastocystis	Blastocystis_cycluri	2
Eukaryota	Stramenopiles	Stramenopiles_X	Opalinata	Opalinata_X	Blastocystis-Group	Blastocystis	Blastocystis_geocheloni	1
Eukaryota	Stramenopiles	Stramenopiles_X	Opalinata	Opalinata_X	Blastocystis-Group	Blastocystis	Blastocystis_hominis	183
Eukaryota	Stramenopiles	Stramenopiles_X	Opalinata	Opalinata_X	Blastocystis-Group	Blastocystis	Blastocystis_lapemi	2
Eukaryota	Stramenopiles	Stramenopiles_X	Opalinata	Opalinata_X	Blastocystis-Group	Blastocystis	Blastocystis_pythoni	2
Eukaryota	Stramenopiles	Stramenopiles_X	Opalinata	Opalinata_X	Blastocystis-Group	Blastocystis	Blastocystis_ratti	3
Eukaryota	Stramenopiles	Stramenopiles_X	Opalinata	Opalinata_X	Blastocystis-Group	Blastocystis	Blastocystis_sp.	215
Eukaryota	Stramenopiles	Stramenopiles_X	Opalinata	Opalinata_X	Blastocystis-Group	Blastocystis	Blastocystis_ST7	17
Eukaryota	Stramenopiles	Stramenopiles_X	Opalinata	Opalinata_X	Blastocystis-Group	Blastocystis-Group_X	Blastocystis-Group_X_sp.	2
